FREQ;GEO;UNIT;AID_INSTR\TIME_PERIOD;2000 ;2001 ;2002 ;2003 ;2004 ;2005 ;2006 ;2007 ;2008 ;2009 ;2010 ;2011 ;2012 ;2013 ;2014 ;2015 ;2016 ;2017 
A;LV;PC_TOT;GRANT;6.1 ;36.1 ;63.5 ;75.3 ;58.4 ;86.6 ;93 ;97.2 ;88.8 ;91 ;82.6 ;91.7 ;94.3 ;96.6 ;97.1 ;91.6 ;89.5 ;85.9 
A;MT;PC_TOT;GRANT;20.9 ;18.5 ;18.4 ;12.6 ;23.8 ;21.8 ;24.9 ;21.3 ;15.4 ;31.8 ;34.3 ;46.1 ;23.9 ;9.5 ;18.1 ;3 ;28.6 ;36.3 
A;NL;PC_TOT;GRANT;54.1 ;51.6 ;42.5 ;47.4 ;62.6 ;78.1 ;66.2 ;67.5 ;71.8 ;71.6 ;74.6 ;71.7 ;69.1 ;67.9 ;73.6 ;69.4 ;72.1 ;82.6 
A;PL;PC_TOT;GRANT;44.5 ;33.7 ;37 ;8.1 ;27.9 ;80.6 ;81.5 ;73.2 ;70.4 ;71.4 ;65.1 ;73.6 ;75.6 ;76.6 ;82.9 ;73.3 ;81.8 ;87.8 
A;PT;PC_TOT;GRANT;24.8 ;12.7 ;3.6 ;3.6 ;7.3 ;6.3 ;4.1 ;2.8 ;5.4 ;8.3 ;14.8 ;11.5 ;64.8 ;47.6 ;31.2 ;18.6 ;29 ;26.9 
A;RO;PC_TOT;GRANT;0 ;0 ;29.3 ;30.6 ;21.6 ;51.5 ;55 ;59.8 ;77.1 ;81 ;97.3 ;74.7 ;58.5 ;55.6 ;59.8 ;61.6 ;36.2 ;29.7 
A;SE;PC_TOT;GRANT;77.8 ;70.7 ;70.8 ;30.5 ;14.1 ;13.3 ;14.8 ;16.3 ;15.7 ;17.7 ;15.9 ;12.8 ;13.5 ;13.1 ;16.3 ;15.5 ;16.3 ;29 
A;SI;PC_TOT;GRANT;51.4 ;41.5 ;60.5 ;65.6 ;74.1 ;87.3 ;95.6 ;97.2 ;96.8 ;93 ;92.7 ;84.3 ;79.2 ;71.9 ;74.1 ;49.8 ;60.8 ;66.1 
A;SK;PC_TOT;GRANT;11 ;14.1 ;10.9 ;21.1 ;19.7 ;32.2 ;53.9 ;28.6 ;34.6 ;40.2 ;46.7 ;62.3 ;46.7 ;61.8 ;78.5 ;82.5 ;77.6 ;53.1 
A;UK;PC_TOT;GRANT;92.1 ;72.6 ;46.9 ;50.3 ;57.2 ;66 ;53.1 ;45.6 ;40.6 ;28.8 ;41.6 ;45.7 ;54.5 ;56.1 ;63.7 ;56.9 ;45.6 ;58.2 
